Year,Country,Medal,Total_Medal
2012,UZB,3,20
2012,VEN,1,12
1924,AUT,4,35
1924,BEL,5,320
1924,CAN,9,141
1924,FIN,15,212
1924,FRA,12,531
1924,GBR,25,792
1924,NOR,17,313
1924,SUI,9,123
1924,SWE,9,507
1924,USA,13,1037
1928,AUT,6,45
1928,BEL,1,326
1928,CAN,12,186
1928,FIN,4,241
1928,FRA,2,569
1928,GBR,1,848
1928,GER,5,237
1928,NOR,15,337
1928,SUI,12,164
1928,SWE,16,559
1928,TCH,1,37
1928,USA,14,1135
1932,AUT,2,52
1932,CAN,20,244
1932,FIN,3,273
1932,FRA,2,608
1932,GER,21,296
1932,HUN,2,137
1932,NOR,10,347
1932,SUI,8,173
1932,SWE,3,593
1932,USA,45,1361
1936,AUT,5,107
1936,CAN,13,279
1936,FIN,9,308
1936,FRA,1,652
1936,GBR,17,935
1936,GER,7,513
1936,HUN,2,181
1936,NOR,18,393
1936,SUI,10,230
1936,SWE,10,637
1936,USA,16,1469
1948,AUT,8,119
1948,BEL,6,358
1948,CAN,20,305
1948,FIN,9,346
1948,FRA,5,725
1948,GBR,2,993
1948,HUN,2,243
1948,ITA,1,449
1948,NOR,13,424
1948,SUI,28,290
1948,SWE,13,723
1948,TCH,17,95
1948,USA,16,1633
1952,AUT,8,130
1952,CAN,17,326
1952,FIN,12,398
1952,FRA,1,765
1952,FRG,12,12
1952,GBR,1,1025
1952,HUN,2,346
1952,ITA,2,504
1952,NED,3,304
1952,NOR,19,456
1952,SUI,6,329
1952,SWE,23,816
1952,USA,30,1793
1956,AUT,12,146
1956,CAN,20,365
1956,EUA,2,59
1956,FIN,12,436
1956,HUN,2,412
1956,ITA,8,558
1956,JPN,1,101
1956,NOR,4,463
1956,POL,1,76
1956,SUI,10,342
1956,SWE,15,865
1956,URS,37,323
1956,USA,26,1937
1960,AUT,6,155
1960,CAN,21,395
1960,EUA,9,156
1960,FIN,13,455
1960,FRA,3,811
1960,ITA,1,647
1960,NED,2,309
1960,NOR,9,474
1960,POL,2,108
1960,SUI,2,355
1960,SWE,9,881
1960,TCH,1,150
1960,URS,42,534
1960,USA,27,2076
1964,AUT,17,172
1964,CAN,7,407
1964,EUA,10,281
1964,FIN,15,475
1964,FRA,7,849
1964,GBR,2,1128
